t, a, b, c, d, e, f
1.8350e-02, -5, 11, 18, 22, 27, 7
1.8400e-02, -5, 11, 18, 22, 27, 7
1.8450e-02, -6, 10, 19, 23, 28, 10
1.8500e-02, -6, 10, 19, 23, 28, 10
1.8550e-02, -7, 10, 22, 24, 27, 9
1.8600e-02, -7, 10, 22, 24, 27, 9
1.8650e-02, -8, 8, 23, 26, 31, 10
1.8700e-02, -8, 8, 23, 26, 31, 10
1.8750e-02, -8, 7, 25, 25, 30, 11
1.8800e-02, -8, 7, 25, 25, 30, 11
1.8850e-02, -8, 7, 27, 28, 30, 13
1.8900e-02, -8, 7, 27, 28, 30, 13
1.8950e-02, -9, 5, 27, 28, 30, 14
1.9000e-02, -9, 5, 27, 28, 30, 14
1.9050e-02, -10, 4, 29, 27, 33, 18
1.9100e-02, -10, 4, 29, 27, 33, 18
1.9150e-02, -10, 3, 30, 29, 31, 18
1.9200e-02, -10, 3, 30, 29, 31, 18
1.9250e-02, -12, 3, 31, 29, 34, 22
1.9300e-02, -12, 3, 31, 29, 34, 22
1.9350e-02, -11, 0, 32, 29, 33, 26
1.9400e-02, -11, 0, 32, 29, 33, 26
1.9450e-02, -12, -1, 32, 29, 33, 26
1.9500e-02, -12, -1, 32, 29, 33, 26
1.9550e-02, -13, -3, 31, 30, 33, 30
1.9600e-02, -13, -3, 31, 30, 33, 30
1.9650e-02, -13, -4, 32, 30, 33, 32
1.9700e-02, -13, -4, 32, 30, 33, 32
1.9750e-02, -14, -6, 33, 30, 33, 35
1.9800e-02, -14, -6, 33, 30, 33, 35
1.9850e-02, -16, -7, 32, 29, 33, 36
1.9900e-02, -16, -7, 32, 29, 33, 36
1.9950e-02, -15, -9, 30, 30, 34, 42
2.0000e-02, -15, -9, 30, 30, 34, 42
2.0050e-02, -18, -10, 32, 29, 34, 42
2.0100e-02, -18, -10, 32, 29, 34, 42
2.0150e-02, -19, -11, 32, 30, 37, 42
2.0200e-02, -19, -11, 32, 30, 37, 42
2.0250e-02, -20, -13, 29, 30, 37, 43
2.0300e-02, -20, -13, 29, 30, 37, 43
2.0350e-02, -21, -13, 28, 29, 37, 45
2.0400e-02, -21, -13, 28, 29, 37, 45
2.0450e-02, -21, -14, 27, 28, 37, 44
2.0500e-02, -21, -14, 27, 28, 37, 44
2.0550e-02, -22, -14, 26, 27, 39, 43
2.0600e-02, -22, -14, 26, 27, 39, 43
2.0650e-02, -21, -13, 27, 27, 39, 42
2.0700e-02, -21, -13, 27, 27, 39, 42
2.0750e-02, -20, -14, 22, 26, 40, 42
2.0800e-02, -20, -14, 22, 26, 40, 42
2.0850e-02, -18, -15, 24, 24, 41, 42
2.0900e-02, -18, -15, 24, 24, 41, 42
2.0950e-02, -18, -15, 22, 24, 42, 40
2.1000e-02, -18, -15, 22, 24, 42, 40
2.1050e-02, -18, -12, 22, 22, 45, 36
2.1100e-02, -18, -12, 22, 22, 45, 36
2.1150e-02, -13, -13, 19, 20, 44, 34
2.1200e-02, -13, -13, 19, 20, 44, 34
2.1250e-02, -12, -10, 19, 20, 46, 34
2.1300e-02, -12, -10, 19, 20, 46, 34
2.1350e-02, -10, -9, 18, 17, 46, 33
2.1400e-02, -10, -9, 18, 17, 46, 33
2.1450e-02, -8, -7, 16, 15, 46, 29
2.1500e-02, -8, -7, 16, 15, 46, 29
2.1550e-02, -6, -5, 14, 15, 46, 30
2.1600e-02, -6, -5, 14, 15, 46, 30
2.1650e-02, -6, -4, 14, 13, 49, 29
2.1700e-02, -6, -4, 14, 13, 49, 29
2.1750e-02, -5, -1, 15, 12, 48, 27
2.1800e-02, -5, -1, 15, 12, 48, 27
2.1850e-02, -5, 0, 13, 9, 46, 26
2.1900e-02, -5, 0, 13, 9, 46, 26
2.1950e-02, -3, 4, 10, 9, 46, 24
2.2000e-02, -3, 4, 10, 9, 46, 24
2.2050e-02, -4, 5, 11, 7, 46, 23
2.2100e-02, -4, 5, 11, 7, 46, 23
2.2150e-02, -3, 8, 11, 7, 44, 22
2.2200e-02, -3, 8, 11, 7, 44, 22
2.2250e-02, -2, 13, 9, 5, 44, 18
2.2300e-02, -2, 13, 9, 5, 44, 18
2.2350e-02, 0, 12, 8, 3, 42, 16
2.2400e-02, 0, 12, 8, 3, 42, 16
2.2450e-02, 2, 14, 9, 1, 41, 13
2.2500e-02, 2, 14, 9, 1, 41, 13
2.2550e-02, 3, 14, 11, 1, 38, 9
2.2600e-02, 3, 14, 11, 1, 38, 9
2.2650e-02, 7, 15, 8, -2, 37, 3
